id,courseId,quarter,sectionLetter,sectionType,learningFormat,days,timeRange,location,building,room,instructor,sln,openSeats,totalSeats,addCodeRequired,gradeType,fee,jointWith,createdAt,updatedAt
69c078fc-9f5d-4c56-bd2c-abef49b075a5,fa2ffb8e-aafb-4ff1-ad6a-4c590ff85ad3,Winter 2026,B,independent study (1-5 credit),In-person,,,,,,,10720,10,10,,,,,2025-10-28 05:51:48.806,2025-10-28 05:51:48.806
56e79de6-5e25-44ac-881d-8150b73391c3,5e030f8f-9fe1-4053-ba45-31c73f24edc2,Winter 2026,A,independent study (1-5 credit),In-person,,,,,,,10721,10,10,,,,,2025-10-28 05:51:49.022,2025-10-28 05:51:49.022
33aa576b-bc64-4f22-bb97-850c990bcfb2,e21de3dd-ddca-40e9-ae91-720779e3bcc9,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",3:30 PM - 5:30 PM,DISC  building room  252,DISC,252,Michael Stiber,13173,24,24,,,,,2025-10-28 05:51:49.236,2025-10-28 05:51:49.236
c9dce4a1-4362-41a3-ab24-e41dbe9ad8ed,b47b8a36-bacd-457b-9038-33ce592d158e,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",5:45 PM - 7:45 PM,UW1  building room  202,UW1,202,Dawn-Marie Oliver,13174,48,48,,,,,2025-10-28 05:51:49.447,2025-10-28 05:51:49.447
e4241f5a-1d2b-4b6b-8994-728cf340a573,b47b8a36-bacd-457b-9038-33ce592d158e,Winter 2026,B,lecture (5 credits),In-person,"Monday, Wednesday",8:00 PM - 10:00 PM,UW1  building room  020,UW1,020,,13175,48,48,,,,,2025-10-28 05:51:49.517,2025-10-28 05:51:49.517
d983778e-03b3-4e1f-9c8a-81e23bb2670f,82ca6284-21fa-43f6-9719-4ae7d392af7b,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW1  building room  110,UW1,110,Douglas M. Pyle,13176,48,48,,,,,2025-10-28 05:51:49.733,2025-10-28 05:51:49.733
8c1471f2-1d96-485d-92b9-01a8ecc7fbdd,9f790884-c97d-493e-8c1d-3131c515fa38,Winter 2026,A,lecture (4 credits),In-person,"Tuesday, Thursday",3:30 PM - 5:30 PM,UW1  building room  220,UW1,220,Johnny Lin,13177,48,48,,,,,2025-10-28 05:51:49.951,2025-10-28 05:51:49.951
c82ba1ae-6a3c-4872-b1c5-93e4d1cee404,6953083a-f19e-495c-b589-e9e08b428332,Winter 2026,A,lecture (3 credits),In-person,"Tuesday, Friday",8:45 AM - 10:45 AM,UW2  building room  141,UW2,141,Johnny Lin,13178,48,48,,,,,2025-10-28 05:51:50.162,2025-10-28 05:51:50.162
5e2aeb40-ef5b-476b-acd6-c93779048e22,c4c6d728-94dc-4faa-b452-886f2f16ef0d,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW2  building room  205,UW2,205,Katie Ewing,13179,30,30,,,,,2025-10-28 05:51:50.378,2025-10-28 05:51:50.378
a443d832-6923-4e91-9434-6e992d593f4d,93cf20ce-1b18-41d6-9f64-952b19fb163d,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",11:00 AM - 1:00 PM,UW1  building room  041,UW1,041,Morteza Chini,13180,48,48,,,,,2025-10-28 05:51:50.591,2025-10-28 05:51:50.591
18f74dc7-31b8-48cd-9b30-90d87f62c5b3,93cf20ce-1b18-41d6-9f64-952b19fb163d,Winter 2026,B,lecture (5 credits),In-person,"Tuesday, Thursday",11:00 AM - 1:00 PM,UW1  building room  210,UW1,210,Johnny Lin,13181,48,48,,,,,2025-10-28 05:51:50.663,2025-10-28 05:51:50.663
7a5ddbed-f158-4a74-8bde-d2bb00b995b0,93cf20ce-1b18-41d6-9f64-952b19fb163d,Winter 2026,C,lecture (5 credits),In-person,"Monday, Wednesday",3:30 PM - 5:30 PM,UW1  building room  041,UW1,041,Dawn-Marie Oliver,13182,48,48,,,,,2025-10-28 05:51:50.735,2025-10-28 05:51:50.735
2b258c03-6d69-4e4a-8aab-fe93f7200729,93cf20ce-1b18-41d6-9f64-952b19fb163d,Winter 2026,D,lecture (5 credits),In-person,"Monday, Wednesday",5:45 PM - 7:45 PM,UW1  building room  040,UW1,040,Peng Du,13183,48,48,,,,,2025-10-28 05:51:50.808,2025-10-28 05:51:50.808
3c86bbf1-6af0-427c-945b-d621459f2fd9,9e1de178-75a1-42d0-ad28-7c0ee6e9726f,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",3:30 PM - 5:30 PM,UW1  building room  051,UW1,051,DAVID NIXON,13184,48,48,,,,,2025-10-28 05:51:51.021,2025-10-28 05:51:51.021
9462b271-a0e3-4076-9f23-0da8dd5c7526,9e1de178-75a1-42d0-ad28-7c0ee6e9726f,Winter 2026,B,lecture (5 credits),In-person,"Monday, Wednesday",11:00 AM - 1:00 PM,UW1  building room  050,UW1,050,Jeff Stride,13185,48,48,,,,,2025-10-28 05:51:51.091,2025-10-28 05:51:51.091
9768d8b9-17c8-4dc4-863a-e7567a9d6372,9e1de178-75a1-42d0-ad28-7c0ee6e9726f,Winter 2026,C,lecture (5 credits),In-person,"Tuesday, Thursday",5:45 PM - 7:45 PM,UW1  building room  110,UW1,110,DAVID NIXON,13186,48,48,,,,,2025-10-28 05:51:51.164,2025-10-28 05:51:51.164
59dd7ea6-acfb-4604-b2a8-1ae9225a31b2,9e1de178-75a1-42d0-ad28-7c0ee6e9726f,Winter 2026,D,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW1  building room  050,UW1,050,Jeff Stride,13187,48,48,,,,,2025-10-28 05:51:51.239,2025-10-28 05:51:51.239
11cd0a8f-39d6-41b6-a829-1dd2fa17c5e5,e000d306-12eb-4ca3-a6f8-e14cace65793,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",3:30 PM - 5:30 PM,UW1  building room  010,UW1,010,,13188,48,48,,,,,2025-10-28 05:51:51.453,2025-10-28 05:51:51.453
bdeb02fb-8d91-435d-a18f-5618465173b3,378fce49-c811-414d-952a-f215023db078,Winter 2026,A,independent study (1-5 credit),In-person,,,,,,,13189,40,40,,,,,2025-10-28 05:51:51.667,2025-10-28 05:51:51.667
20336705-8238-435c-b5c5-678b105a2c7f,378fce49-c811-414d-952a-f215023db078,Winter 2026,B,independent study (1-5 credit),In-person,,,,,,,13190,40,40,,,,,2025-10-28 05:51:51.74,2025-10-28 05:51:51.74
0862618f-1fdf-439b-9700-3a0fc87020c3,b6597876-d72e-40ac-8695-47d7a15432b4,Winter 2026,A,independent study (1-5 credit),In-person,,,,,,,13191,40,40,,,,,2025-10-28 05:51:51.956,2025-10-28 05:51:51.956
7bbdbabc-375d-40d5-839a-1ad1e6039e5d,b6597876-d72e-40ac-8695-47d7a15432b4,Winter 2026,B,independent study (1-5 credit),In-person,,,,,,,13192,40,40,,,,,2025-10-28 05:51:52.028,2025-10-28 05:51:52.028
d154a7cf-0686-416f-ae9b-7f862b807d5b,2a0d2471-1940-421c-8440-cae6154b4c00,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",3:30 PM - 5:30 PM,UW2  building room  031,UW2,031,Dharma Dailey,13193,48,48,,,,,2025-10-28 05:51:52.239,2025-10-28 05:51:52.239
6f2210cc-808f-4c6d-9e6b-af8e5a0080fd,2a0d2471-1940-421c-8440-cae6154b4c00,Winter 2026,B,lecture (5 credits),In-person,"Monday, Wednesday",11:00 AM - 1:00 PM,UW1  building room  221,UW1,221,Nancy L. Kool,13194,48,48,,,,,2025-10-28 05:51:52.311,2025-10-28 05:51:52.311
5f12be9d-823d-46bc-ac8c-5c24927da7eb,e4d441bf-2be3-4d59-982b-e946fce69b1a,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",3:30 PM - 5:30 PM,UW2  building room  131,UW2,131,,13195,48,48,,,,,2025-10-28 05:51:52.527,2025-10-28 05:51:52.527
972b7cd5-0e4f-4d47-9a5e-0452215f5eaa,12c56b8b-5c99-4ce9-b189-54206da762dc,Winter 2026,A,lecture (2 credits),In-person,Thursday,3:30 PM - 5:30 PM,UW2  building room  307,UW2,307,Nancy L. Kool,13196,12,12,,,,,2025-10-28 05:51:52.741,2025-10-28 05:51:52.741
fd4ad1f9-6eb8-413b-973b-8507c21901cf,1ed9f399-545b-457c-8b1a-c02113817661,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW1  building room  221,UW1,221,Nancy L. Kool,13197,30,30,,,,,2025-10-28 05:51:52.959,2025-10-28 05:51:52.959
c792800f-9e81-4104-a33d-214bfff9f79f,1ed9f399-545b-457c-8b1a-c02113817661,Winter 2026,B,lecture (5 credits),In-person,"Monday, Wednesday",3:30 PM - 5:30 PM,UW1  building room  110,UW1,110,,13198,30,30,,,,,2025-10-28 05:51:53.032,2025-10-28 05:51:53.032
b91a72ce-f2ee-47d3-a40f-c21d899897f8,1ed9f399-545b-457c-8b1a-c02113817661,Winter 2026,C,lecture (5 credits),In-person,"Tuesday, Thursday",1:15 PM - 3:15 PM,UW2  building room  211,UW2,211,Carol A Shaw,13199,30,30,,,,,2025-10-28 05:51:53.103,2025-10-28 05:51:53.103
017f095d-5bb6-4a30-8879-f19566b14f1e,1ed9f399-545b-457c-8b1a-c02113817661,Winter 2026,D,lecture (5 credits),In-person,"Tuesday, Thursday",11:00 AM - 1:00 PM,UW2  building room  221,UW2,221,Carol A Shaw,13200,30,30,,,,,2025-10-28 05:51:53.174,2025-10-28 05:51:53.174
5bf14d0e-b474-4984-be7c-d364ac10b2e8,5a484bf8-2d56-42ec-903a-09b59adae141,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",8:45 AM - 10:45 AM,UW1  building room  040,UW1,040,Morteza Chini,13201,48,48,,,,,2025-10-28 05:51:53.391,2025-10-28 05:51:53.391
06e127f1-6926-44d1-b596-7aa8edb6935d,5a484bf8-2d56-42ec-903a-09b59adae141,Winter 2026,B,lecture (5 credits),In-person,"Tuesday, Thursday",5:45 PM - 7:45 PM,UW1  building room  030,UW1,030,Ahmed Awad,13202,48,48,,,,,2025-10-28 05:51:53.463,2025-10-28 05:51:53.463
51f68f38-6471-4468-aa23-9ebe29f40f4f,fe2e29ad-bb9d-43f6-95cd-30c1a1a5b4f4,Winter 2026,A,lecture (5 credits),Hybrid,Monday,11:00 AM - 1:00 PM,UW2  building room  141,UW2,141,Sanjay Joshi,13203,48,48,,,,,2025-10-28 05:51:53.679,2025-10-28 05:51:53.679
6ec95a20-e26d-4d3b-8376-f1b5b9a53818,9433ee1d-19e9-4dd9-ace0-751302336afe,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW2  building room  141,UW2,141,Geetha Thamilarasu,13204,48,48,,,,,2025-10-28 05:51:53.898,2025-10-28 05:51:53.898
1a83129c-4f7a-4af2-b15c-f55fdfd3ea67,956ac62d-bab6-4ab3-850a-362c78c9c184,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",8:45 AM - 10:45 AM,UW1  building room  051,UW1,051,Eyal Arian,13205,40,40,,,,,2025-10-28 05:51:54.115,2025-10-28 05:51:54.115
ceee797f-435d-46e1-9f12-e8294bf798fa,7fa7aef9-19f0-4c38-929f-6c02d582bff4,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW2  building room  305,UW2,305,Clark Olson,13206,40,40,,,,,2025-10-28 05:51:54.329,2025-10-28 05:51:54.329
08d1bab1-fb58-4f3e-86ee-3c558725211c,7fa7aef9-19f0-4c38-929f-6c02d582bff4,Winter 2026,B,lecture (5 credits),In-person,"Tuesday, Thursday",11:00 AM - 1:00 PM,UW1  building room  102,UW1,102,Murat Seckin Ayhan,13207,40,40,,,,,2025-10-28 05:51:54.398,2025-10-28 05:51:54.398
bc9be808-cd9c-4434-a04c-3c92cec521ea,7fa7aef9-19f0-4c38-929f-6c02d582bff4,Winter 2026,C,lecture (5 credits),In-person,"Tuesday, Thursday",3:30 PM - 5:30 PM,UW2  building room  340,UW2,340,Joanna Wang,13208,40,40,,,,,2025-10-28 05:51:54.47,2025-10-28 05:51:54.47
584eff95-08eb-4641-ba80-18a69099fc72,22a07a52-3cfb-4783-b3bd-382f47ec9437,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",8:00 PM - 10:00 PM,UW2  building room  340,UW2,340,Neelakantan Kartha,13209,40,40,,,,,2025-10-28 05:51:54.685,2025-10-28 05:51:54.685
603e1acc-3318-45c2-a618-5ce799be9069,22a07a52-3cfb-4783-b3bd-382f47ec9437,Winter 2026,B,lecture (5 credits),In-person,"Tuesday, Thursday",5:45 PM - 7:45 PM,UW1  building room  102,UW1,102,Shaun Stangler,13210,40,40,,,,,2025-10-28 05:51:54.758,2025-10-28 05:51:54.758
d0940289-27bc-429b-ad62-829ddcadc573,22a07a52-3cfb-4783-b3bd-382f47ec9437,Winter 2026,C,lecture (5 credits),In-person,"Tuesday, Thursday",3:30 PM - 5:30 PM,UW2  building room  305,UW2,305,Eric Reel,13211,40,40,,,,,2025-10-28 05:51:54.827,2025-10-28 05:51:54.827
2fbc869b-1e99-4d68-839a-6c1f2f65fa8f,22a07a52-3cfb-4783-b3bd-382f47ec9437,Winter 2026,D,lecture (5 credits),In-person,"Monday, Wednesday",5:45 PM - 7:45 PM,UW2  building room  141,UW2,141,Yusuf Pisan,13212,40,40,,,,,2025-10-28 05:51:54.916,2025-10-28 05:51:54.916
2ba268d8-bec0-46b9-9ce6-5f666f0ff280,7d4bee70-2b28-466d-b5df-5e281c716089,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW2  building room  131,UW2,131,Mia Champion,13213,48,48,,,,,2025-10-28 05:51:55.138,2025-10-28 05:51:55.138
eee773fa-ea81-4cbb-b0e5-0c37448c4e55,7d4bee70-2b28-466d-b5df-5e281c716089,Winter 2026,B,lecture (5 credits),In-person,"Tuesday, Thursday",5:45 PM - 7:45 PM,UW1  building room  220,UW1,220,Kaylea Champion,13214,48,48,,,,,2025-10-28 05:51:55.208,2025-10-28 05:51:55.208
52b84998-81f5-4ead-adf2-519b94b89c6a,7d4bee70-2b28-466d-b5df-5e281c716089,Winter 2026,C,lecture (5 credits),In-person,"Monday, Wednesday",5:45 PM - 7:45 PM,UW2  building room  240,UW2,240,,13215,48,48,,,,,2025-10-28 05:51:55.28,2025-10-28 05:51:55.28
8e4ced81-048d-4a6c-9583-f98acfaa10b3,05ce2498-f8ce-4fe5-b4de-a7041ef09dd3,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",8:00 PM - 10:00 PM,UW1  building room  202,UW1,202,Dawn-Marie Oliver,13216,30,30,,,,,2025-10-28 05:51:55.496,2025-10-28 05:51:55.496
24566f4d-f2c4-46da-96b3-195422bf75ec,05ce2498-f8ce-4fe5-b4de-a7041ef09dd3,Winter 2026,B,lecture (5 credits),In-person,"Tuesday, Thursday",11:00 AM - 1:00 PM,UW1  building room  302,UW1,302,Kaylea Champion,13217,30,30,,,,,2025-10-28 05:51:55.577,2025-10-28 05:51:55.577
210ad9e6-0c6e-452e-b424-957fe4edb9b3,05ce2498-f8ce-4fe5-b4de-a7041ef09dd3,Winter 2026,C,lecture (5 credits),In-person,"Monday, Wednesday",3:30 PM - 5:30 PM,UW2  building room  211,UW2,211,Jeffrey Kim,13218,30,30,,,,,2025-10-28 05:51:55.649,2025-10-28 05:51:55.649
2e0b807d-2b1e-486b-af30-d4984fb2ab53,05ce2498-f8ce-4fe5-b4de-a7041ef09dd3,Winter 2026,D,lecture (5 credits),In-person,"Monday, Wednesday",3:30 PM - 5:30 PM,LBA  building room  003,LBA,003,Katie Ewing,13219,30,30,,,,,2025-10-28 05:51:55.72,2025-10-28 05:51:55.72
f026f486-7f24-40a5-a14d-8b9d9cd715ea,76c808c4-48e0-41d2-b235-af6232c386d8,Winter 2026,A,lecture (5 credits),In-person,"Tuesday, Thursday",5:45 PM - 7:45 PM,UW1  building room  050,UW1,050,Himanshu Zade,13220,48,48,,,,,2025-10-28 05:51:55.934,2025-10-28 05:51:55.934
f0141ab4-b762-4ca8-9c2e-b48af290b1f7,76c808c4-48e0-41d2-b235-af6232c386d8,Winter 2026,B,lecture (5 credits),In-person,"Tuesday, Thursday",11:00 AM - 1:00 PM,UW2  building room  031,UW2,031,Morteza Chini,13221,48,48,,,,,2025-10-28 05:51:56.007,2025-10-28 05:51:56.007
d71a3cd4-290f-4707-b0b1-9a17075e92bd,008b5ec8-eaf3-47e0-ae88-14d6226184bf,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",3:30 PM - 5:30 PM,UW1  building room  040,UW1,040,Arkady Retik,13222,48,48,,,,,2025-10-28 05:51:56.228,2025-10-28 05:51:56.228
fed7fbfd-2dbe-4529-a74e-55690315ae57,fcc5770b-9933-4afa-ad2f-882f80a9d6a3,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",8:45 AM - 10:45 AM,UW1  building room  040,UW1,040,Mia Champion,13223,48,48,,,,,2025-10-28 05:51:56.443,2025-10-28 05:51:56.443
4a251bf5-1f08-44ae-ad8e-5fe79e6a3ed9,e0d5a3f3-fb09-406b-83cc-f2d637e578fa,Winter 2026,A,independent study (1-5 credit),In-person,,,,,,,13224,10,10,,,,,2025-10-28 05:51:56.658,2025-10-28 05:51:56.658
499bed63-9e7b-47ef-9022-64017959e1a4,940b5974-3e97-4ac6-b21b-4a2b40c30403,Winter 2026,A,lecture (5 credits),Hybrid,Tuesday,5:45 PM - 7:45 PM,UW2  building room  031,UW2,031,William Lidster,13225,48,48,,,,,2025-10-28 05:51:56.885,2025-10-28 05:51:56.885
4b7b0d78-8d85-41d7-94d5-e98c4ba9d485,9b883304-9ef5-4f37-8d20-887e6ef227ed,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",11:00 AM - 1:00 PM,UW2  building room  005,UW2,005,Jeffrey Kim,13226,48,48,,,,,2025-10-28 05:51:57.1,2025-10-28 05:51:57.1
77ff6fa5-9e8d-4774-b2ce-cee00b22e534,0c9001c5-c946-4614-96ef-0a5ff6cf2e32,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW2  building room  240,UW2,240,Munehiro Fukuda,13227,48,48,,,,,2025-10-28 05:51:57.319,2025-10-28 05:51:57.319
38751d8b-fbaf-42d6-b134-8fb91390210b,0c9001c5-c946-4614-96ef-0a5ff6cf2e32,Winter 2026,B,lecture (5 credits),Hybrid,Friday,11:00 AM - 1:00 PM,INV  building room  134,INV,134,Sanjay Joshi,13228,48,48,,,,,2025-10-28 05:51:57.392,2025-10-28 05:51:57.392
1c29ee9f-1a3b-4e71-8731-c19c1c93baae,73ea81fc-40d2-4986-b7af-0e1c7fda9756,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",3:30 PM - 5:30 PM,UW2  building room  141,UW2,141,Yusuf Pisan,13229,48,48,,,,,2025-10-28 05:51:57.61,2025-10-28 05:51:57.61
0e22ef71-9127-4e76-90f9-64b10adeb452,73ea81fc-40d2-4986-b7af-0e1c7fda9756,Winter 2026,B,lecture (5 credits),In-person,"Tuesday, Thursday",11:00 AM - 1:00 PM,UW2  building room  131,UW2,131,Yusuf Pisan,13230,48,48,,,,,2025-10-28 05:51:57.681,2025-10-28 05:51:57.681
dc67086c-d0db-49c1-902e-74020dece317,73ea81fc-40d2-4986-b7af-0e1c7fda9756,Winter 2026,C,lecture (5 credits),In-person,"Monday, Wednesday",5:45 PM - 7:45 PM,UW1  building room  050,UW1,050,STEVE DAME,21941,48,48,,,,,2025-10-28 05:51:57.751,2025-10-28 05:51:57.751
ac6974e2-ddd1-4a60-bbf9-50baa8b85d97,2efbdf08-db7b-4ec9-a2b7-f47a1b6bbcb6,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",1:15 PM - 3:15 PM,UW1  building room  102,UW1,102,Irena Atov,13231,48,48,,,,,2025-10-28 05:51:57.965,2025-10-28 05:51:57.965
9343f8e8-aeb8-4f05-9216-000136281193,704dd1d9-4f78-402a-98b3-6d011c669917,Winter 2026,A,lecture (5 credits),In-person,"Monday, Wednesday",3:30 PM - 5:30 PM,UW2  building room  005,UW2,005,STEVE DAME,13232,48,48,,,,,2025-10-28 05:51:58.27,2025-10-28 05:51:58.27
