id,courseCode,courseName,credits,campus,school,subject,courseDescription,coursePrerequisite,offeredJointlyWith,quarters,genEdReq,curriculum,overlappingCourses,createdAt,updatedAt
25acf8b8-7c52-4c5d-8e3e-8588b70bc05f,B ACCT 510,Accounting Profession,1,bothell,School of Business,Accounting(Bothell) (B ACCT),"Based on participation in accounting-related seminars, workshops, symposia, and field trips. These ""qualifying events"" help students to understanding the demands and nature of the accounting profession; apply accounting theory and principles as needed in professional conversations; and explores the ethical dimensions of professional decision making.",None,,"{""Winter 2026""}",None,"ACCOUNTING(BOTHELL), bothell campus",,2025-10-28 05:07:30.394,2025-10-28 05:50:43.311
4759ac16-1822-4e58-b991-276ff7f16fc5,B BUS 307,Business Writing,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Provides theoretical and practical approaches to being a better ethical writer to prepare students to be more successful in business or other organizations.,None,,"{""Winter 2026""}",(W) Additional Writing - see section details below,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:34.211,2025-10-28 05:50:47.026
2720334d-578c-4e1d-8083-3aab8d7a063c,B BUS 310,Managerial Economics,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Applies economic principles and quantitative methods to improve managerial decision making. Topics covered include: demand analysis, cost analysis, forecasting, asset valuation, information economics, government regulation of business.","A minimum grade of 1.7 in either B MATH 144, MATH 112, STMATH 114, STMATH 124, MATH 124, or MATH 134",,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:34.734,2025-10-28 05:50:47.536
f068c030-d79a-4eaf-a869-cc6c92c2857b,B BUS 320,Marketing Management,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Focuses on designing tools, concepts, and strategies for problem solving in marketing management. May not be repeated.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:35.167,2025-10-28 05:50:47.965
057c5e94-902b-40c5-9a20-073aa15c88cf,B BUS 330,Information Management and Analysis,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Study of the methods of gathering, structuring, analyzing and applying information in business organizations. A survey of the changes in organizations resulting from new knowledge technologies provides a framework for intensive study of a variety of tools used to gather, structure, analyze or apply information.",May not be repeated.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:35.605,2025-10-28 05:50:48.398
fe100c98-ebe0-4041-8e96-58949ce1160f,B BUS 340,Operations and Project Management,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Examines service and manufacturing processes that deliver value to customers, introduces concepts and tools for critical analysis, emphasizes operating priorities (quality, cost, delivery, flexibility, social responsibility) and the underlying factors that support them. May not be repeated.",Minimum grade of 1.7 in B BUS 310.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:35.821,2025-10-28 05:50:48.62
00d1f60c-0b83-4878-837b-18455468eb87,B BUS 350,Business Finance,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Focuses on understanding the sources, uses, costs, and control of funds in business organizations. Issues include the internal management of working capital, sources of capital, financing new ventures, capital budgeting, and financing the growth of businesses. May not be repeated.",Minimum grade of 1.7 in B BUS 310.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",STMATH 330; FIN 350; and TMATH 316,2025-10-28 05:07:36.255,2025-10-28 05:50:49.052
61fd3d36-7ac1-4798-990e-38c2079c631c,B BUS 361,Intermediate Accounting I,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Examines the accounting framework and principles used to determine the income and the financial position of a firm. Develops a conceptual and applied understanding of the preparation of financial statements and processing of transactions related to the current asset accounts.,May not be repeated.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",ACCTG 301,2025-10-28 05:07:36.694,2025-10-28 05:50:49.482
96bb86db-c13b-48d6-b765-7b99a730382e,B BUS 362,Intermediate Accounting II,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Analyzes current accounting theory and practices used in preparing and presenting financial statements. Focuses on the accounting treatment of transactions concerning investments; operational assets; and current and long-term liabilities.,A minimum grade of 1.7 in B BUS 361; may not be repeated.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",ACCTG 402,2025-10-28 05:07:36.99,2025-10-28 05:50:49.768
d16c789b-b886-4f1a-b95e-70ad17a0bbf5,B BUS 373,Cost Accounting,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Examines the use of accounting and operational data for internal planning and control purposes. Focus includes job-order and process costing, activity based budgeting, profit planning, responsibility accounting, standard costing and variance analysis, transfer pricing and performance evaluation systems. May not be repeated.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",ACCTG 311,2025-10-28 05:07:37.282,2025-10-28 05:50:50.052
b5a1f74b-433d-4af2-ac0d-602ddc6c5846,B BUS 402,Managing Work Teams,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Provides students with an understanding of the factors influencing team effectiveness in work environments. Includes team process, decision making, conflict resolution, team creativity, external dynamics, and emerging issues in managing teams.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:37.579,2025-10-28 05:50:50.339
1b016efd-416c-4464-ba49-69c852c8957f,B BUS 431,Electronic Marketing,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Critically analyze new marketing models; study how firms can effectively leverage new technology and maximize long-term profits. Includes: web marketing strategy, e-commerce issues, channel issues, pricing models, advertising and promotion models and business plans.",A minimum grade of 1.7 in either B BUS 320 or ELCBUS 320.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:37.802,2025-10-28 05:50:50.555
f252fa65-6f19-4142-94f9-4bf36c031489,B BUS 301,Data Management,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"The course provides an intensive, hands-on introduction to Data Management that involves the acquisition, transformation, manipulation, visualization and the analysis of data in a computing environment that fosters collaboration. The data manipulation and analysis will be implemented by writing programs in a discipline-specific statistical software.","Either BIS 215, B BUS 215, B MATH 215, or STMATH 341.",,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",CSSS 321/SOC 321/STAT 321 and STAT 302,2025-10-28 05:07:33.992,2025-10-28 05:50:46.807
ff6b4888-27b8-4973-8b97-953189eaa853,B BUS 451,Financial Policy and Practice,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Emphasizes major current theories and practices in the field of financial management. Topics include financial ratio analysis; break-even analysis; cash, marketable securities, inventory, and accounts receivable management models; dividend policy; short-term and long-term financing decisions; and international finance.",Minimum grade of 1.7 in B BUS 350; may not be repeated.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:38.935,2025-10-28 05:50:51.636
db627a61-530b-4b4e-9e88-080ee8302eab,B BUS 453,Financial Institutions and Markets,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Role of banks and non-bank financial institutions in the financial system; asset choices of banks and non-bank financial institutions; problems in the management of financial institutions with emphasis on commercial banks.,Minimum grade of 1.7 in B BUS 350; may not be repeated.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:39.235,2025-10-28 05:50:51.918
3cd0dc2a-54e9-453d-b09e-16869e7bce5e,B BUS 454,Investments,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Introduction to the nature, problems, and process of evaluating particular securities and portfolio construction and administration. Special attention is directed to the risk and rate of return aspects of particular securities portfolios; and total wealth.",Minimum grade of 1.7 in B BUS 350; may not be repeated.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:39.455,2025-10-28 05:50:52.133
aab7d310-faea-49b1-8d01-fe5c5806bab3,B BUS 458,Risk Modeling,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Focuses on the allocation and pricing of risk, analyzing what motivates economic agents to trade, how they manage risky endowments, and how financial assets are used for investment decisions to hedge risk. Includes analysis of how insurance premiums, stocks, bonds, and option prices are determined.",B BECN 302.,B BECN 458,"{""Winter 2026""}",(RSN) Reasoning,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:39.675,2025-10-28 05:50:52.344
73e1749d-b368-4eb0-8bb7-7b822958284f,B BUS 461,"Business, Government, and Society",5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Covers capitalism and its critics; corporate social responsibility and business ethics; government and politics; regulation business; stakeholders and interest groups; the role of technology and the future of business.,A minimum grade of 1.7 in B BUS 300; and a minimum grade of 1.7 in B BUS 310.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:39.895,2025-10-28 05:50:52.562
8927d172-c696-4450-908d-817ed7950256,B BUS 465,Applied Financial Accounting,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Emphasizes what analysts and managers need to know about the issues and procedures involved in the preparation of the financial statement, rather than on the actual preparation of the statements. Prepares students for professional certification as management accountants or financial analysts.",Minimum grade of 1.7 in B BUS 350.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:40.115,2025-10-28 05:50:52.779
60e88292-c1ac-4716-9bab-52c0e54c0a91,B BUS 468,Advanced Accounting and Analytics,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Accounting for and reporting of foreign currency and hedging activity, business risk and financial reporting risks. Students learn to combine guidance from authoritative literature with knowledge of current business practices and analysis of structured accounting data to develop and effectively communicate with diverse audiences including business leaders, capital markets, regulators and internal and external stakeholders.",A minimum grade of 1.7 in B BUS 363.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:40.331,2025-10-28 05:50:52.999
8fd81c82-24e9-4325-a460-aad063f07011,B BUS 470,Business Policy and Strategic Management,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Capstone course. Focuses on identification, analysis and resolution of managerial problems; creation and implementation of management policies in business organizations; and revision of policies over time.",A minimum grade of 1.7 in B BUS 300; a minimum grade of 1.7 in B BUS 307; a minimum grade of 1.7 in B BUS 320; a minimum grade of 1.7 in B BUS 340; and a minimum grade of 1.7 in B BUS 350; may not be repeated.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:40.545,2025-10-28 05:50:53.233
8e783514-da86-4b9f-b96c-eefdbc3d661c,B BUS 471,Entrepreneurial Management,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Focuses on the processes of entrepreneurship within an organization, including how to create products and services which add value to consumers, how to start and nurture a new business venture, and how to develop and sustain innovation within existing organizations.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:40.915,2025-10-28 05:50:53.591
3341b783-561d-46d1-a6b9-75145b0db3ce,B BUS 473,Leadership and Decision Making,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),The manager is seen as a business leader and decision-maker. Covers various individual and group-level decision-making models. May not be repeated.,A minimum grade of 1.7 in B BUS 300.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:41.131,2025-10-28 05:50:53.803
2f49676a-4d18-434b-b84f-1b9df8aa27cd,B BUS 446,Strategic Retail Promotion,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Examines key driver, strategies, and methods necessary to succeed in retail applying advanced promotion methods to achieve competitive advantage through innovative approaches.",B BUS 300; either B BUS 320 or ELCBUS 320; and may not be repeated.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:38.707,2025-10-28 05:50:51.415
50d71982-e29b-43e1-a224-f538a757de4e,B BUS 487,Managing and Improving Supply Chain Processes,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Integrates the topics covered in the foundational Supply Chain Management courses as well as engage students in topics related to managing and improving supply chains. Analyze a real-world supply chain problem and develop viable solutions.,A minimum grade of 1.7 in B BUS 441; and a minimum grade of 1.7 in B BUS 482.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",OPMGT 443,2025-10-28 05:07:42.24,2025-10-28 05:50:54.878
279b26b9-17dd-48f7-bbd7-586da4fc9e1c,B BUS 490,Special Topics in Business,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Topics of current interest to faculty and students. Offered when allowed by faculty availability and sufficient student interest.,A minimum grade of 1.7 in B BUS 300; and a minimum grade of 1.7 in B BUS 310.,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:42.459,2025-10-28 05:50:55.093
13d5d99a-04d2-49a1-85bb-febf4960d29a,B BUS 503,Financial Reporting and Analysis,4,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Read, interpret, and analyze company financial reports. Understand the procedural aspects of the preparation of financial statements. Acquire a working knowledge of generally accepted accounting principles and financial reporting standards. Understand the ambiguities that arise in preparing financial statements and the role of good business judgment in resolving these ambiguities.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:42.977,2025-10-28 05:50:55.593
3a936700-bb26-474a-a56f-e0c268ae3faf,B BUS 504,MICROECONOMICS FOR BUSINESS,4,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Considers some of the most important economic aspects of a business enterprise including demand and cost analysis, pricing strategy (including auctions), and the economics of information. Highlights the usefulness of game theory.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:43.199,2025-10-28 05:50:55.809
9f1a31f2-3c70-4bfa-be68-77dc51274b31,B BUS 514,Business Communications for Leaders,4,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Focuses on making written and spoken communications effective and authentic, using case studies of several communication challenges that occur in organizations. Teaches how successful communication is both intentional and strategic; and how to formulate communication goals, understand your audience, and use the correct approach in each situation.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:43.437,2025-10-28 05:50:56.025
4b12b604-9365-4f9d-bb55-e7555e246eac,B BUS 525,Technology and Innovation Management,4,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Provides a general manager's perspective on the management of innovation. Focuses on conceptual frameworks and analytical tools for managing innovation throughout the firm. Topics include the nature of innovation, how organizational and technical capabilities affect innovation, product/process development systems, and technology implementation.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:43.659,2025-10-28 05:50:56.237
9173d474-29e2-424f-a74a-32b7daf827f0,B BUS 528,New Product Marketing,4,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Examines strategies and state-of-the art analytical methods that support profitable new product introductions.,None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:43.877,2025-10-28 05:50:56.455
1c7eaf99-5fcb-4af6-b084-420605beb4aa,B BUS 533,Advanced Leadership Models,4,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Provides an advanced overview of leadership theory and practice and helps students understand and develop their own leadership potential. Relies on a variety of approaches including readings, cases, simulations, guest speakers, activities, discussion, assessments, lectures, and reflection.",None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:44.097,2025-10-28 05:50:56.669
927c28e7-3572-4334-aa91-461dc1b05780,BCWRIT 510,Poetics Seminar: Cultural Change and Writing,5,bothell,School of Interdisciplinary Arts and Sciences (Bothell),Creative Writing - Bothell (BCWRIT),"Engages the subject of poetics as writing theory and practice. Focuses on cultural, social, and technological change as these create new challenges and possibilities for creative writing.",None,,"{""Winter 2026""}",None,"CREATIVE WRITING - BOTHELL, bothell campus",,2025-10-28 05:07:59.379,2025-10-28 05:51:11.473
0d8138cc-efa0-4e83-80ad-aff0a81915db,B BUS 486,Supply Chain Resource Planning,5,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),"Introduction to the design and control of production functions. Focuses on the principles, models, and techniques for resource planning, analysis, and design of integrated production control systems. Topics include forecasting, inventory management, production planning, scheduling, and materials requirement planning problems.",Minimum grade of 1.7 in B BUS 340.,,"{""Winter 2026""}",(RSN) Reasoning,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",OPMGT 443,2025-10-28 05:07:42.015,2025-10-28 05:50:54.661
1d7f256d-13e1-40ec-a633-d151cc7dc72e,B BUS 501,"Leadership, Team Process and Decision Making: A Workshop",4,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Examines factors associated with leader and team effectiveness using high- and low-element exercises and lecture/discussion. Introduces management analysis and decision-making using the case study method. Three-day off-campus retreat followed by two evening class meetings on campus.,None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:42.757,2025-10-28 05:50:55.378
45ba9d5a-8867-4eb1-bd7a-dc257a381ccb,B BUS 601,Internship,1-6,bothell,School of Business,Business Administration (Bothell Campus) (B BUS),Provides a circumscribed practical experience at an organization under the supervision of a faculty member.,None,,"{""Winter 2026""}",None,"BUSINESS ADMINISTRATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:44.769,2025-10-28 05:50:57.315
bb0d87b2-d82c-4705-830b-a82befd35fcc,B EDUC 201,Special Topics in Diversity and Education,5,bothell,School of Educational Studies,Education (Bothell Campus) (B EDUC),"Rotates around different topics dealing with diverse perspectives on ethnic and racial groups, gender, culture, religion, sexuality, language, social class, and special needs, among others, in education at either the K-12 or Higher Education levels.",None,,"{""Winter 2026""}",(DIV) Diversity,"EDUCATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:45.522,2025-10-28 05:50:58.039
b79b3a0f-eb7f-4e3f-b9fb-26852e09cd4a,B EDUC 205,Education and Equity in the U.S.,5,bothell,School of Educational Studies,Education (Bothell Campus) (B EDUC),"Introduces historic and contemporary struggles over issues of equity in U.S Education system. Examines issues of race, gender, and religion, evaluating positions of various stakeholders and identifying strategies used to move towards equity in U.S education.",None,,"{""Winter 2026""}","(DIV) Diversity, (SSc) Social Science","EDUCATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:45.81,2025-10-28 05:50:58.322
78cca662-1970-43aa-8363-09f5adb857fc,B EDUC 210,Teaching and Learning in a Multicultural Society,5,bothell,School of Educational Studies,Education (Bothell Campus) (B EDUC),"Examines how race and ethnicity intersect with class, gender, sexual orientation, language, disability, and citizenship to influence school experiences and provide insights for culturally relevant teaching. Explores social, cultural, political, and economic issues impacting communities and ways they are implicated in systems of power and privilege that influence educational opportunities.",None,,"{""Winter 2026""}","(DIV) Diversity, (SSc) Social Science","EDUCATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:46.107,2025-10-28 05:50:58.607
3a461e30-addc-4867-bf8d-9498417002da,B EDUC 230,"Culture, Knowledge, and Education",5,bothell,School of Educational Studies,Education (Bothell Campus) (B EDUC),"Explores the intersection of culture, knowledge, and education. Examines each concept separately then focuses on ways they interact and affect educational opportunities. Cultural issues include; race, socio-economic histories, language, gender, sexual orientation, and religious views. Uses perspectives from diverse academic disciplines and considers education as extending beyond school settings.",None,,"{""Winter 2026""}","(DIV) Diversity, (SSc) Social Science","EDUCATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:46.327,2025-10-28 05:50:58.819
ef961d22-ca3f-45e1-b5f8-97124a8a577d,B EDUC 240,Science and Engineering for an Ethical and Just Society,5,bothell,School of Educational Studies,Education (Bothell Campus) (B EDUC),"Explores intersections of biology, race, engineering, gender, and justice. Explores fundamental and contemporary ideas in computer science engineering and inclusive gender biology, including how these disciplines systematically uphold white supremacy and reproduce societal inequalities.",None,,"{""Winter 2026""}","(DIV) Diversity, (NSc) Natural Science","EDUCATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:46.547,2025-10-28 05:50:59.028
b16409ef-1519-4058-b9ad-b3fff67a073f,B EDUC 242,U.S. History and the Enduring War For Control of K-12 Curriculum: From Invasion to Insurrection,5,bothell,School of Educational Studies,Education (Bothell Campus) (B EDUC),"A counternarrative survey of American history from the invasion to the insurrection. Students will read from a range of historians and education scholars to critically re-examine the myths, falsehoods, and stereotypes that comprise the story of the United States.",None,,"{""Winter 2026""}","(DIV) Diversity, (SSc) Social Science, (W) Additional Writing - see section details below","EDUCATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:46.764,2025-10-28 05:50:59.259
f4382ca1-7509-44a2-88ad-0346b692e527,B EDUC 250,Topics in Education and Popular Culture,5,bothell,School of Educational Studies,Education (Bothell Campus) (B EDUC),"Examines education in relation to specific elements of popular culture in order to deepen understanding of the connections and tensions within society. Explores how popular culture is used to enhance the education experience. Topics include popular forms of art, media, literature, or theatre.",None,,"{""Winter 2026""}",(A&H) Arts and Humanities,"EDUCATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:46.989,2025-10-28 05:50:59.479
b48f669f-f53f-4503-b3f1-83274b204264,B EDUC 255,Critical Diversity Studies,5,bothell,School of Educational Studies,Education (Bothell Campus) (B EDUC),"Introduces theories, concepts, research, and polices that provide a foundation for exploring connections between diversity and equity and for recognizing ways in which these connections are relevant to individuals, institutions, and the world.",None,BIS 255,"{""Winter 2026""}","(DIV) Diversity, (SSc) Social Science","EDUCATION (BOTHELL CAMPUS), bothell campus",,2025-10-28 05:07:47.225,2025-10-28 05:50:59.692
